Logging to logs/ppo_cnn_4x4_2
---------------------------------
| rollout/           |          |
|    time_elapsed         | 396         |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.013564147 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.259      |
|    explained_variance   | 0.75        |
|    learning_rate        | 0.000498    |
|    loss                 | -0.000507   |
|    n_updates            | 28          |
|    policy_gradient_loss | -0.0104     |
|    value_loss           | 0.0342      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 39.4        |
|    ep_rew_mean          | 2.17        |
| time/                   |             |
|    fps                  | 1313        |
|    iterations           | 9           |
|    time_elapsed         | 449         |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.015610918 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.191      |
|    explained_variance   | 0.81        |
|    learning_rate        | 0.000497    |
|    loss                 | -0.00125    |
|    n_updates            | 32          |
|    policy_gradient_loss | -0.00742    |
|    value_loss           | 0.0222      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 39.6        |
|    ep_rew_mean          | 2.28        |
| time/                   |             |
|    fps                  | 1307        |
|    iterations           | 10          |
|    time_elapsed         | 501         |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.012535897 |
|    clip_fraction        | 0.0912      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.136      |
|    explained_variance   | 0.833       |
|    learning_rate        | 0.000497    |
|    loss                 | 0.0023      |
|    n_updates            | 36          |
|    policy_gradient_loss | -0.00287    |
|    value_loss           | 0.0178      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 38.6        |
|    ep_rew_mean          | 2.23        |
| time/                   |             |
|    fps                  | 1298        |
|    iterations           | 11          |
|    time_elapsed         | 555         |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.012615688 |
|    clip_fraction        | 0.0727      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.104      |
|    explained_variance   | 0.856       |
|    learning_rate        | 0.000497    |
|    loss                 | 0.00077     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0021     |
|    value_loss           | 0.0133      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.3        |
|    ep_rew_mean          | 2.18        |
| time/                   |             |
|    fps                  | 1290        |
|    iterations           | 12          |
|    time_elapsed         | 609         |
|    total_timesteps      | 786432      |
| train/                  |             |
|    approx_kl            | 0.020060787 |
|    clip_fraction        | 0.0679      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0761     |
|    explained_variance   | 0.855       |
|    learning_rate        | 0.000496    |
|    loss                 | 0.00277     |
|    n_updates            | 44          |
|    policy_gradient_loss | 0.0022      |
|    value_loss           | 0.0146      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.2        |
|    ep_rew_mean          | 2.3         |
| time/                   |             |
|    fps                  | 1280        |
|    iterations           | 13          |
|    time_elapsed         | 665         |
|    total_timesteps      | 851968      |
| train/                  |             |
|    approx_kl            | 0.014096066 |
|    clip_fraction        | 0.0474      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0616     |
|    explained_variance   | 0.856       |
|    learning_rate        | 0.000496    |
|    loss                 | 0.00415     |
|    n_updates            | 48          |
|    policy_gradient_loss | 0.00077     |
|    value_loss           | 0.0119      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.1        |
|    ep_rew_mean          | 2.26        |
| time/                   |             |
|    fps                  | 1272        |
|    iterations           | 14          |
|    time_elapsed         | 721         |
|    total_timesteps      | 917504      |
| train/                  |             |
|    approx_kl            | 0.017804112 |
|    clip_fraction        | 0.0458      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0503     |
|    explained_variance   | 0.876       |
|    learning_rate        | 0.000496    |
|    loss                 | 0.00653     |
|    n_updates            | 52          |
|    policy_gradient_loss | 0.00289     |
|    value_loss           | 0.0115      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.2        |
|    ep_rew_mean          | 2.25        |
| time/                   |             |
|    fps                  | 1265        |
|    iterations           | 15          |
|    time_elapsed         | 776         |
|    total_timesteps      | 983040      |
| train/                  |             |
|    approx_kl            | 0.017785005 |
|    clip_fraction        | 0.0392      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0419     |
|    explained_variance   | 0.864       |
|    learning_rate        | 0.000495    |
|    loss                 | 0.00475     |
|    n_updates            | 56          |
|    policy_gradient_loss | 0.00233     |
|    value_loss           | 0.0108      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.7        |
|    ep_rew_mean          | 2.28        |
| time/                   |             |
|    fps                  | 1264        |
|    iterations           | 16          |
|    time_elapsed         | 829         |
|    total_timesteps      | 1048576     |
| train/                  |             |
|    approx_kl            | 0.015504265 |
|    clip_fraction        | 0.0317      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0369     |
|    explained_variance   | 0.883       |
|    learning_rate        | 0.000495    |
|    loss                 | 0.00468     |
|    n_updates            | 60          |
|    policy_gradient_loss | 0.00139     |
|    value_loss           | 0.00921     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.5        |
|    ep_rew_mean          | 2.25        |
| time/                   |             |
|    fps                  | 1259        |
|    iterations           | 17          |
|    time_elapsed         | 884         |
|    total_timesteps      | 1114112     |
| train/                  |             |
|    approx_kl            | 0.016717395 |
|    clip_fraction        | 0.0332      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0338     |
|    explained_variance   | 0.87        |
|    learning_rate        | 0.000495    |
|    loss                 | 0.00488     |
|    n_updates            | 64          |
|    policy_gradient_loss | 0.00196     |
|    value_loss           | 0.00974     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.5        |
|    ep_rew_mean          | 2.24        |
| time/                   |             |
|    fps                  | 1254        |
|    iterations           | 18          |
|    time_elapsed         | 940         |
|    total_timesteps      | 1179648     |
| train/                  |             |
|    approx_kl            | 0.018993989 |
|    clip_fraction        | 0.0307      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0308     |
|    explained_variance   | 0.885       |
|    learning_rate        | 0.000494    |
|    loss                 | 0.00327     |
|    n_updates            | 68          |
|    policy_gradient_loss | 0.00402     |
|    value_loss           | 0.009       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.7        |
|    ep_rew_mean          | 2.29        |
| time/                   |             |
|    fps                  | 1250        |
|    iterations           | 19          |
|    time_elapsed         | 995         |
|    total_timesteps      | 1245184     |
| train/                  |             |
|    approx_kl            | 0.011108261 |
|    clip_fraction        | 0.0261      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0277     |
|    explained_variance   | 0.876       |
|    learning_rate        | 0.000494    |
|    loss                 | 0.00286     |
|    n_updates            | 72          |
|    policy_gradient_loss | 0.000653    |
|    value_loss           | 0.00941     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.2        |
|    ep_rew_mean          | 2.19        |
| time/                   |             |
|    fps                  | 1247        |
|    iterations           | 20          |
|    time_elapsed         | 1050        |
|    total_timesteps      | 1310720     |
| train/                  |             |
|    approx_kl            | 0.016552046 |
|    clip_fraction        | 0.0257      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0268     |
|    explained_variance   | 0.892       |
|    learning_rate        | 0.000494    |
|    loss                 | 0.00529     |
|    n_updates            | 76          |
|    policy_gradient_loss | 0.00152     |
|    value_loss           | 0.00833     |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 37.2      |
|    ep_rew_mean          | 2.3       |
| time/                   |           |
|    fps                  | 1213      |
|    iterations           | 21        |
|    time_elapsed         | 1134      |
|    total_timesteps      | 1376256   |
| train/                  |           |
|    approx_kl            | 0.0219521 |
|    clip_fraction        | 0.0256    |
|    clip_range           | 0.148     |
|    entropy_loss         | -0.0254   |
|    explained_variance   | 0.887     |
|    learning_rate        | 0.000493  |
|    loss                 | 0.00612   |
|    n_updates            | 80        |
|    policy_gradient_loss | 0.00238   |
|    value_loss           | 0.0091    |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.1        |
|    ep_rew_mean          | 2.22        |
| time/                   |             |
|    fps                  | 968         |
|    iterations           | 22          |
|    time_elapsed         | 1489        |
|    total_timesteps      | 1441792     |
| train/                  |             |
|    approx_kl            | 0.017792769 |
|    clip_fraction        | 0.0242      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0242     |
|    explained_variance   | 0.893       |
|    learning_rate        | 0.000493    |
|    loss                 | 0.00382     |
|    n_updates            | 84          |
|    policy_gradient_loss | 0.000667    |
|    value_loss           | 0.00714     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.3        |
|    ep_rew_mean          | 2.28        |
| time/                   |             |
|    fps                  | 816         |
|    iterations           | 23          |
|    time_elapsed         | 1846        |
|    total_timesteps      | 1507328     |
| train/                  |             |
|    approx_kl            | 0.014854716 |
|    clip_fraction        | 0.022       |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0257     |
|    explained_variance   | 0.892       |
|    learning_rate        | 0.000493    |
|    loss                 | 0.00175     |
|    n_updates            | 88          |
|    policy_gradient_loss | 0.00048     |
|    value_loss           | 0.00827     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 37.1       |
|    ep_rew_mean          | 2.3        |
| time/                   |            |
|    fps                  | 714        |
|    iterations           | 24         |
|    time_elapsed         | 2202       |
|    total_timesteps      | 1572864    |
| train/                  |            |
|    approx_kl            | 0.01144854 |
|    clip_fraction        | 0.0238     |
|    clip_range           | 0.148      |
|    entropy_loss         | -0.0256    |
|    explained_variance   | 0.903      |
|    learning_rate        | 0.000493   |
|    loss                 | 0.00143    |
|    n_updates            | 92         |
|    policy_gradient_loss | 0.000407   |
|    value_loss           | 0.00702    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.5        |
|    ep_rew_mean          | 2.27        |
| time/                   |             |
|    fps                  | 722         |
|    iterations           | 25          |
|    time_elapsed         | 2267        |
|    total_timesteps      | 1638400     |
| train/                  |             |
|    approx_kl            | 0.012698942 |
|    clip_fraction        | 0.0247      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.025      |
|    explained_variance   | 0.904       |
|    learning_rate        | 0.000492    |
|    loss                 | 0.00575     |
|    n_updates            | 96          |
|    policy_gradient_loss | 0.00114     |
|    value_loss           | 0.00742     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37          |
|    ep_rew_mean          | 2.28        |
| time/                   |             |
|    fps                  | 734         |
|    iterations           | 26          |
|    time_elapsed         | 2319        |
|    total_timesteps      | 1703936     |
| train/                  |             |
|    approx_kl            | 0.010963904 |
|    clip_fraction        | 0.0212      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0218     |
|    explained_variance   | 0.905       |
|    learning_rate        | 0.000492    |
|    loss                 | 0.00573     |
|    n_updates            | 100         |
|    policy_gradient_loss | 0.00106     |
|    value_loss           | 0.00727     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 36.6       |
|    ep_rew_mean          | 2.26       |
| time/                   |            |
|    fps                  | 745        |
|    iterations           | 27         |
|    time_elapsed         | 2373       |
|    total_timesteps      | 1769472    |
| train/                  |            |
|    approx_kl            | 0.01642023 |
|    clip_fraction        | 0.0178     |
|    clip_range           | 0.148      |
|    entropy_loss         | -0.0193    |
|    explained_variance   | 0.893      |
|    learning_rate        | 0.000492   |
|    loss                 | 0.0041     |
|    n_updates            | 104        |
|    policy_gradient_loss | 0.00103    |
|    value_loss           | 0.00826    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.3        |
|    ep_rew_mean          | 2.19        |
| time/                   |             |
|    fps                  | 755         |
|    iterations           | 28          |
|    time_elapsed         | 2427        |
|    total_timesteps      | 1835008     |
| train/                  |             |
|    approx_kl            | 0.018059365 |
|    clip_fraction        | 0.0174      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0174     |
|    explained_variance   | 0.894       |
|    learning_rate        | 0.000491    |
|    loss                 | 0.0062      |
|    n_updates            | 108         |
|    policy_gradient_loss | 0.00143     |
|    value_loss           | 0.00858     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.3        |
|    ep_rew_mean          | 2.23        |
| time/                   |             |
|    fps                  | 765         |
|    iterations           | 29          |
|    time_elapsed         | 2481        |
|    total_timesteps      | 1900544     |
| train/                  |             |
|    approx_kl            | 0.022237148 |
|    clip_fraction        | 0.0223      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0187     |
|    explained_variance   | 0.887       |
|    learning_rate        | 0.000491    |
|    loss                 | 0.00312     |
|    n_updates            | 112         |
|    policy_gradient_loss | 0.00196     |
|    value_loss           | 0.00879     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 36.7       |
|    ep_rew_mean          | 2.26       |
| time/                   |            |
|    fps                  | 775        |
|    iterations           | 30         |
|    time_elapsed         | 2535       |
|    total_timesteps      | 1966080    |
| train/                  |            |
|    approx_kl            | 0.03295348 |
|    clip_fraction        | 0.0213     |
|    clip_range           | 0.148      |
|    entropy_loss         | -0.0192    |
|    explained_variance   | 0.895      |
|    learning_rate        | 0.000491   |
|    loss                 | 0.00298    |
|    n_updates            | 116        |
|    policy_gradient_loss | 0.00186    |
|    value_loss           | 0.00837    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.2        |
|    ep_rew_mean          | 2.25        |
| time/                   |             |
|    fps                  | 785         |
|    iterations           | 31          |
|    time_elapsed         | 2586        |
|    total_timesteps      | 2031616     |
| train/                  |             |
|    approx_kl            | 0.018840002 |
|    clip_fraction        | 0.0226      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0209     |
|    explained_variance   | 0.886       |
|    learning_rate        | 0.00049     |
|    loss                 | 0.00345     |
|    n_updates            | 120         |
|    policy_gradient_loss | 0.00334     |
|    value_loss           | 0.00911     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 35.9        |
|    ep_rew_mean          | 2.26        |
| time/                   |             |
|    fps                  | 794         |
|    iterations           | 32          |
|    time_elapsed         | 2638        |
|    total_timesteps      | 2097152     |
| train/                  |             |
|    approx_kl            | 0.021939749 |
|    clip_fraction        | 0.0217      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0195     |
|    explained_variance   | 0.854       |
|    learning_rate        | 0.00049     |
|    loss                 | 0.00384     |
|    n_updates            | 124         |
|    policy_gradient_loss | 0.000484    |
|    value_loss           | 0.0115      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.6        |
|    ep_rew_mean          | 2.26        |
| time/                   |             |
|    fps                  | 804         |
|    iterations           | 33          |
|    time_elapsed         | 2689        |
|    total_timesteps      | 2162688     |
| train/                  |             |
|    approx_kl            | 0.012785608 |
|    clip_fraction        | 0.0186      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0183     |
|    explained_variance   | 0.889       |
|    learning_rate        | 0.00049     |
|    loss                 | 0.00282     |
|    n_updates            | 128         |
|    policy_gradient_loss | 0.00126     |
|    value_loss           | 0.00832     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37          |
|    ep_rew_mean          | 2.26        |
| time/                   |             |
|    fps                  | 812         |
|    iterations           | 34          |
|    time_elapsed         | 2742        |
|    total_timesteps      | 2228224     |
| train/                  |             |
|    approx_kl            | 0.023379343 |
|    clip_fraction        | 0.0207      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0174     |
|    explained_variance   | 0.897       |
|    learning_rate        | 0.000489    |
|    loss                 | 0.007       |
|    n_updates            | 132         |
|    policy_gradient_loss | 0.00273     |
|    value_loss           | 0.00778     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 37.2       |
|    ep_rew_mean          | 2.28       |
| time/                   |            |
|    fps                  | 820        |
|    iterations           | 35         |
|    time_elapsed         | 2794       |
|    total_timesteps      | 2293760    |
| train/                  |            |
|    approx_kl            | 0.02140544 |
|    clip_fraction        | 0.0199     |
|    clip_range           | 0.147      |
|    entropy_loss         | -0.0177    |
|    explained_variance   | 0.888      |
|    learning_rate        | 0.000489   |
|    loss                 | 0.00403    |
|    n_updates            | 136        |
|    policy_gradient_loss | 0.0019     |
|    value_loss           | 0.00849    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 35.8        |
|    ep_rew_mean          | 2.24        |
| time/                   |             |
|    fps                  | 827         |
|    iterations           | 36          |
|    time_elapsed         | 2849        |
|    total_timesteps      | 2359296     |
| train/                  |             |
|    approx_kl            | 0.020432051 |
|    clip_fraction        | 0.0198      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0164     |
|    explained_variance   | 0.886       |
|    learning_rate        | 0.000489    |
|    loss                 | 0.00368     |
|    n_updates            | 140         |
|    policy_gradient_loss | 0.000769    |
|    value_loss           | 0.00832     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.7        |
|    ep_rew_mean          | 2.3         |
| time/                   |             |
|    fps                  | 834         |
|    iterations           | 37          |
|    time_elapsed         | 2904        |
|    total_timesteps      | 2424832     |
| train/                  |             |
|    approx_kl            | 0.026496358 |
|    clip_fraction        | 0.0233      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0199     |
|    explained_variance   | 0.888       |
|    learning_rate        | 0.000488    |
|    loss                 | 0.00274     |
|    n_updates            | 144         |
|    policy_gradient_loss | 0.00337     |
|    value_loss           | 0.00892     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 35.7        |
|    ep_rew_mean          | 2.27        |
| time/                   |             |
|    fps                  | 841         |
|    iterations           | 38          |
|    time_elapsed         | 2959        |
|    total_timesteps      | 2490368     |
| train/                  |             |
|    approx_kl            | 0.012590388 |
|    clip_fraction        | 0.0196      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0177     |
|    explained_variance   | 0.899       |
|    learning_rate        | 0.000488    |
|    loss                 | 0.00269     |
|    n_updates            | 148         |
|    policy_gradient_loss | 0.00111     |
|    value_loss           | 0.00728     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36          |
|    ep_rew_mean          | 2.22        |
| time/                   |             |
|    fps                  | 847         |
|    iterations           | 39          |
|    time_elapsed         | 3015        |
|    total_timesteps      | 2555904     |
| train/                  |             |
|    approx_kl            | 0.016726559 |
|    clip_fraction        | 0.0193      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.018      |
|    explained_variance   | 0.904       |
|    learning_rate        | 0.000488    |
|    loss                 | 0.00292     |
|    n_updates            | 152         |
|    policy_gradient_loss | 0.0011      |
|    value_loss           | 0.0074      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.4        |
|    ep_rew_mean          | 2.25        |
| time/                   |             |
|    fps                  | 853         |
|    iterations           | 40          |
|    time_elapsed         | 3071        |
|    total_timesteps      | 2621440     |
| train/                  |             |
|    approx_kl            | 0.012479202 |
|    clip_fraction        | 0.0171      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0165     |
|    explained_variance   | 0.903       |
|    learning_rate        | 0.000487    |
|    loss                 | 0.00311     |
|    n_updates            | 156         |
|    policy_gradient_loss | 0.000727    |
|    value_loss           | 0.00728     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 37.7       |
|    ep_rew_mean          | 2.3        |
| time/                   |            |
|    fps                  | 859        |
|    iterations           | 41         |
|    time_elapsed         | 3127       |
|    total_timesteps      | 2686976    |
| train/                  |            |
|    approx_kl            | 0.02056678 |
|    clip_fraction        | 0.0174     |
|    clip_range           | 0.147      |
|    entropy_loss         | -0.0155    |
|    explained_variance   | 0.892      |
|    learning_rate        | 0.000487   |
|    loss                 | 0.00329    |
|    n_updates            | 160        |
|    policy_gradient_loss | 0.00109    |
|    value_loss           | 0.00803    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 36.4       |
|    ep_rew_mean          | 2.23       |
| time/                   |            |
|    fps                  | 864        |
|    iterations           | 42         |
|    time_elapsed         | 3183       |
|    total_timesteps      | 2752512    |
| train/                  |            |
|    approx_kl            | 0.01824088 |
|    clip_fraction        | 0.0164     |
|    clip_range           | 0.147      |
|    entropy_loss         | -0.0146    |
|    explained_variance   | 0.9        |
|    learning_rate        | 0.000487   |
|    loss                 | 0.00368    |
|    n_updates            | 164        |
|    policy_gradient_loss | 0.00152    |
|    value_loss           | 0.00794    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 36.6       |
|    ep_rew_mean          | 2.28       |
| time/                   |            |
|    fps                  | 870        |
|    iterations           | 43         |
|    time_elapsed         | 3238       |
|    total_timesteps      | 2818048    |
| train/                  |            |
|    approx_kl            | 0.01839567 |
|    clip_fraction        | 0.017      |
|    clip_range           | 0.147      |
|    entropy_loss         | -0.0154    |
|    explained_variance   | 0.884      |
|    learning_rate        | 0.000486   |
|    loss                 | 0.00393    |
|    n_updates            | 168        |
|    policy_gradient_loss | 0.000687   |
|    value_loss           | 0.00849    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.4        |
|    ep_rew_mean          | 2.28        |
| time/                   |             |
|    fps                  | 875         |
|    iterations           | 44          |
|    time_elapsed         | 3294        |
|    total_timesteps      | 2883584     |
| train/                  |             |
|    approx_kl            | 0.021292225 |
|    clip_fraction        | 0.0182      |
|    clip_range           | 0.146       |
|    entropy_loss         | -0.0157     |
|    explained_variance   | 0.884       |
|    learning_rate        | 0.000486    |
|    loss                 | 0.00428     |
|    n_updates            | 172         |
|    policy_gradient_loss | 0.000593    |
|    value_loss           | 0.00829     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 35.3        |
|    ep_rew_mean          | 2.21        |
| time/                   |             |
|    fps                  | 879         |
|    iterations           | 45          |
|    time_elapsed         | 3351        |
|    total_timesteps      | 2949120     |
| train/                  |             |
|    approx_kl            | 0.028353516 |
|    clip_fraction        | 0.0178      |
|    clip_range           | 0.146       |
|    entropy_loss         | -0.0142     |
|    explained_variance   | 0.898       |
|    learning_rate        | 0.000486    |
|    loss                 | 0.00479     |
|    n_updates            | 176         |
|    policy_gradient_loss | 0.0016      |
|    value_loss           | 0.00774     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 36.2       |
|    ep_rew_mean          | 2.25       |
| time/                   |            |
|    fps                  | 884        |
|    iterations           | 46         |
|    time_elapsed         | 3408       |
|    total_timesteps      | 3014656    |
| train/                  |            |
|    approx_kl            | 0.01839308 |
|    clip_fraction        | 0.0151     |
|    clip_range           | 0.146      |
|    entropy_loss         | -0.0124    |
|    explained_variance   | 0.892      |
|    learning_rate        | 0.000485   |
|    loss                 | 0.00362    |
|    n_updates            | 180        |
|    policy_gradient_loss | 0.00137    |
|    value_loss           | 0.00813    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 35.5        |
|    ep_rew_mean          | 2.26        |
| time/                   |             |
|    fps                  | 889         |
|    iterations           | 47          |
|    time_elapsed         | 3463        |
