Logging to logs/PPO_4
---------------------------------
| rollout/           |          |
|    learning_rate        | 0.000249    |
|    loss                 | 0.0394      |
|    n_updates            | 28          |
|    policy_gradient_loss | -0.00606    |
|    value_loss           | 0.101       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 51.1         |
|    ep_rew_mean          | 1.96         |
| time/                   |              |
|    fps                  | 19059        |
|    iterations           | 9            |
|    time_elapsed         | 30           |
|    total_timesteps      | 589824       |
| train/                  |              |
|    approx_kl            | 0.0029814243 |
|    clip_fraction        | 0.0497       |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.333       |
|    explained_variance   | 0.162        |
|    learning_rate        | 0.000249     |
|    loss                 | 0.0447       |
|    n_updates            | 32           |
|    policy_gradient_loss | -0.00511     |
|    value_loss           | 0.112        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 47.1         |
|    ep_rew_mean          | 2.06         |
| time/                   |              |
|    fps                  | 18995        |
|    iterations           | 10           |
|    time_elapsed         | 34           |
|    total_timesteps      | 655360       |
| train/                  |              |
|    approx_kl            | 0.0023260703 |
|    clip_fraction        | 0.0427       |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.302       |
|    explained_variance   | 0.2          |
|    learning_rate        | 0.000249     |
|    loss                 | 0.0499       |
|    n_updates            | 36           |
|    policy_gradient_loss | -0.00458     |
|    value_loss           | 0.118        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 45           |
|    ep_rew_mean          | 2.21         |
| time/                   |              |
|    fps                  | 18945        |
|    iterations           | 11           |
|    time_elapsed         | 38           |
|    total_timesteps      | 720896       |
| train/                  |              |
|    approx_kl            | 0.0021617727 |
|    clip_fraction        | 0.0382       |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.281       |
|    explained_variance   | 0.217        |
|    learning_rate        | 0.000248     |
|    loss                 | 0.046        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00418     |
|    value_loss           | 0.12         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 44.2         |
|    ep_rew_mean          | 2.36         |
| time/                   |              |
|    fps                  | 18911        |
|    iterations           | 12           |
|    time_elapsed         | 41           |
|    total_timesteps      | 786432       |
| train/                  |              |
|    approx_kl            | 0.0019934147 |
|    clip_fraction        | 0.0344       |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.252       |
|    explained_variance   | 0.229        |
|    learning_rate        | 0.000248     |
|    loss                 | 0.0662       |
|    n_updates            | 44           |
|    policy_gradient_loss | -0.00402     |
|    value_loss           | 0.132        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 43           |
|    ep_rew_mean          | 2.51         |
| time/                   |              |
|    fps                  | 18895        |
|    iterations           | 13           |
|    time_elapsed         | 45           |
|    total_timesteps      | 851968       |
| train/                  |              |
|    approx_kl            | 0.0018842223 |
|    clip_fraction        | 0.0333       |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.229       |
|    explained_variance   | 0.248        |
|    learning_rate        | 0.000248     |
|    loss                 | 0.0621       |
|    n_updates            | 48           |
|    policy_gradient_loss | -0.00383     |
|    value_loss           | 0.135        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 43.1         |
|    ep_rew_mean          | 2.97         |
| time/                   |              |
|    fps                  | 18888        |
|    iterations           | 14           |
|    time_elapsed         | 48           |
|    total_timesteps      | 917504       |
| train/                  |              |
|    approx_kl            | 0.0014661839 |
|    clip_fraction        | 0.0279       |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.209       |
|    explained_variance   | 0.253        |
|    learning_rate        | 0.000248     |
|    loss                 | 0.0615       |
|    n_updates            | 52           |
|    policy_gradient_loss | -0.0033      |
|    value_loss           | 0.14         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 42.7         |
|    ep_rew_mean          | 2.69         |
| time/                   |              |
|    fps                  | 18884        |
|    iterations           | 15           |
|    time_elapsed         | 52           |
|    total_timesteps      | 983040       |
| train/                  |              |
|    approx_kl            | 0.0013254788 |
|    clip_fraction        | 0.0247       |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.19        |
|    explained_variance   | 0.284        |
|    learning_rate        | 0.000248     |
|    loss                 | 0.0548       |
|    n_updates            | 56           |
|    policy_gradient_loss | -0.00283     |
|    value_loss           | 0.135        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 41.9         |
|    ep_rew_mean          | 3.18         |
| time/                   |              |
|    fps                  | 18861        |
|    iterations           | 16           |
|    time_elapsed         | 55           |
|    total_timesteps      | 1048576      |
| train/                  |              |
|    approx_kl            | 0.0011431332 |
|    clip_fraction        | 0.0235       |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.176       |
|    explained_variance   | 0.287        |
|    learning_rate        | 0.000248     |
|    loss                 | 0.0601       |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00294     |
|    value_loss           | 0.136        |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 40.9          |
|    ep_rew_mean          | 2.93          |
| time/                   |               |
|    fps                  | 18838         |
|    iterations           | 17            |
|    time_elapsed         | 59            |
|    total_timesteps      | 1114112       |
| train/                  |               |
|    approx_kl            | 0.00093578047 |
|    clip_fraction        | 0.0188        |
|    clip_range           | 0.149         |
|    entropy_loss         | -0.161        |
|    explained_variance   | 0.322         |
|    learning_rate        | 0.000247      |
|    loss                 | 0.0649        |
|    n_updates            | 64            |
|    policy_gradient_loss | -0.00229      |
|    value_loss           | 0.133         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 40.2          |
|    ep_rew_mean          | 3.19          |
| time/                   |               |
|    fps                  | 18832         |
|    iterations           | 18            |
|    time_elapsed         | 62            |
|    total_timesteps      | 1179648       |
| train/                  |               |
|    approx_kl            | 0.00086144754 |
|    clip_fraction        | 0.0167        |
|    clip_range           | 0.149         |
|    entropy_loss         | -0.148        |
|    explained_variance   | 0.348         |
|    learning_rate        | 0.000247      |
|    loss                 | 0.0496        |
|    n_updates            | 68            |
|    policy_gradient_loss | -0.0021       |
|    value_loss           | 0.126         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 40.5         |
|    ep_rew_mean          | 2.98         |
| time/                   |              |
|    fps                  | 18801        |
|    iterations           | 19           |
|    time_elapsed         | 66           |
|    total_timesteps      | 1245184      |
| train/                  |              |
|    approx_kl            | 0.0008999628 |
|    clip_fraction        | 0.0178       |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.137       |
|    explained_variance   | 0.377        |
|    learning_rate        | 0.000247     |
|    loss                 | 0.0589       |
|    n_updates            | 72           |
|    policy_gradient_loss | -0.00224     |
|    value_loss           | 0.122        |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 42.1          |
|    ep_rew_mean          | 3.23          |
| time/                   |               |
|    fps                  | 18791         |
|    iterations           | 20            |
|    time_elapsed         | 69            |
|    total_timesteps      | 1310720       |
| train/                  |               |
|    approx_kl            | 0.00081135094 |
|    clip_fraction        | 0.0157        |
|    clip_range           | 0.148         |
|    entropy_loss         | -0.127        |
|    explained_variance   | 0.383         |
|    learning_rate        | 0.000247      |
|    loss                 | 0.0451        |
|    n_updates            | 76            |
|    policy_gradient_loss | -0.00196      |
|    value_loss           | 0.113         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 39.8          |
|    ep_rew_mean          | 3.29          |
| time/                   |               |
|    fps                  | 18769         |
|    iterations           | 21            |
|    time_elapsed         | 73            |
|    total_timesteps      | 1376256       |
| train/                  |               |
|    approx_kl            | 0.00071093463 |
|    clip_fraction        | 0.0147        |
|    clip_range           | 0.148         |
|    entropy_loss         | -0.121        |
|    explained_variance   | 0.389         |
|    learning_rate        | 0.000247      |
|    loss                 | 0.0615        |
|    n_updates            | 80            |
|    policy_gradient_loss | -0.0018       |
|    value_loss           | 0.119         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 40.4          |
|    ep_rew_mean          | 3.34          |
| time/                   |               |
|    fps                  | 18742         |
|    iterations           | 22            |
|    time_elapsed         | 76            |
|    total_timesteps      | 1441792       |
| train/                  |               |
|    approx_kl            | 0.00058007555 |
|    clip_fraction        | 0.0112        |
|    clip_range           | 0.148         |
|    entropy_loss         | -0.113        |
|    explained_variance   | 0.411         |
|    learning_rate        | 0.000247      |
|    loss                 | 0.0579        |
|    n_updates            | 84            |
|    policy_gradient_loss | -0.00134      |
|    value_loss           | 0.109         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 38.7         |
|    ep_rew_mean          | 3.21         |
| time/                   |              |
|    fps                  | 18726        |
|    iterations           | 23           |
|    time_elapsed         | 80           |
|    total_timesteps      | 1507328      |
| train/                  |              |
|    approx_kl            | 0.0005434759 |
|    clip_fraction        | 0.0114       |
|    clip_range           | 0.148        |
|    entropy_loss         | -0.106       |
|    explained_variance   | 0.417        |
|    learning_rate        | 0.000246     |
|    loss                 | 0.0474       |
|    n_updates            | 88           |
|    policy_gradient_loss | -0.00119     |
|    value_loss           | 0.111        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 38.6         |
|    ep_rew_mean          | 3.33         |
| time/                   |              |
|    fps                  | 18724        |
|    iterations           | 24           |
|    time_elapsed         | 84           |
|    total_timesteps      | 1572864      |
| train/                  |              |
|    approx_kl            | 0.0005153059 |
|    clip_fraction        | 0.00974      |
|    clip_range           | 0.148        |
|    entropy_loss         | -0.0988      |
|    explained_variance   | 0.439        |
|    learning_rate        | 0.000246     |
|    loss                 | 0.0456       |
|    n_updates            | 92           |
|    policy_gradient_loss | -0.00122     |
|    value_loss           | 0.102        |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 40.1          |
|    ep_rew_mean          | 3.52          |
| time/                   |               |
|    fps                  | 18707         |
|    iterations           | 25            |
|    time_elapsed         | 87            |
|    total_timesteps      | 1638400       |
| train/                  |               |
|    approx_kl            | 0.00049522985 |
|    clip_fraction        | 0.00986       |
|    clip_range           | 0.148         |
|    entropy_loss         | -0.093        |
|    explained_variance   | 0.453         |
|    learning_rate        | 0.000246      |
|    loss                 | 0.0475        |
|    n_updates            | 96            |
|    policy_gradient_loss | -0.00117      |
|    value_loss           | 0.0959        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 40.9          |
|    ep_rew_mean          | 3.71          |
| time/                   |               |
|    fps                  | 18717         |
|    iterations           | 26            |
|    time_elapsed         | 91            |
|    total_timesteps      | 1703936       |
| train/                  |               |
|    approx_kl            | 0.00043652364 |
|    clip_fraction        | 0.00874       |
|    clip_range           | 0.148         |
|    entropy_loss         | -0.0881       |
|    explained_variance   | 0.464         |
|    learning_rate        | 0.000246      |
|    loss                 | 0.043         |
|    n_updates            | 100           |
|    policy_gradient_loss | -0.00087      |
|    value_loss           | 0.0966        |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 40.1         |
|    ep_rew_mean          | 3.53         |
| time/                   |              |
|    fps                  | 18714        |
|    iterations           | 27           |
|    time_elapsed         | 94           |
|    total_timesteps      | 1769472      |
| train/                  |              |
|    approx_kl            | 0.0004888695 |
|    clip_fraction        | 0.0103       |
|    clip_range           | 0.148        |
|    entropy_loss         | -0.083       |
|    explained_variance   | 0.475        |
|    learning_rate        | 0.000246     |
|    loss                 | 0.0383       |
|    n_updates            | 104          |
|    policy_gradient_loss | -0.00108     |
|    value_loss           | 0.0873       |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 40.4          |
|    ep_rew_mean          | 3.57          |
| time/                   |               |
|    fps                  | 18694         |
|    iterations           | 28            |
|    time_elapsed         | 98            |
|    total_timesteps      | 1835008       |
| train/                  |               |
|    approx_kl            | 0.00053117354 |
|    clip_fraction        | 0.0103        |
|    clip_range           | 0.148         |
|    entropy_loss         | -0.0818       |
|    explained_variance   | 0.477         |
|    learning_rate        | 0.000246      |
|    loss                 | 0.0465        |
|    n_updates            | 108           |
|    policy_gradient_loss | -0.00116      |
|    value_loss           | 0.0878        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 40            |
|    ep_rew_mean          | 3.84          |
| time/                   |               |
|    fps                  | 18695         |
|    iterations           | 29            |
|    time_elapsed         | 101           |
|    total_timesteps      | 1900544       |
| train/                  |               |
|    approx_kl            | 0.00043864746 |
|    clip_fraction        | 0.00964       |
|    clip_range           | 0.148         |
|    entropy_loss         | -0.0772       |
|    explained_variance   | 0.483         |
|    learning_rate        | 0.000245      |
|    loss                 | 0.0356        |
|    n_updates            | 112           |
|    policy_gradient_loss | -0.00111      |
|    value_loss           | 0.0827        |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 41.3         |
|    ep_rew_mean          | 3.77         |
| time/                   |              |
|    fps                  | 18695        |
|    iterations           | 30           |
|    time_elapsed         | 105          |
|    total_timesteps      | 1966080      |
| train/                  |              |
|    approx_kl            | 0.0005080914 |
|    clip_fraction        | 0.00973      |
|    clip_range           | 0.148        |
|    entropy_loss         | -0.0759      |
|    explained_variance   | 0.479        |
|    learning_rate        | 0.000245     |
|    loss                 | 0.0392       |
|    n_updates            | 116          |
|    policy_gradient_loss | -0.000911    |
|    value_loss           | 0.0841       |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 39.7          |
|    ep_rew_mean          | 3.6           |
| time/                   |               |
|    fps                  | 18675         |
|    iterations           | 31            |
|    time_elapsed         | 108           |
|    total_timesteps      | 2031616       |
| train/                  |               |
|    approx_kl            | 0.00047001994 |
|    clip_fraction        | 0.00986       |
|    clip_range           | 0.148         |
|    entropy_loss         | -0.0741       |
|    explained_variance   | 0.485         |
|    learning_rate        | 0.000245      |
|    loss                 | 0.0382        |
|    n_updates            | 120           |
|    policy_gradient_loss | -0.00113      |
|    value_loss           | 0.0769        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38.6          |
|    ep_rew_mean          | 3.79          |
| time/                   |               |
|    fps                  | 18686         |
|    iterations           | 32            |
|    time_elapsed         | 112           |
|    total_timesteps      | 2097152       |
| train/                  |               |
|    approx_kl            | 0.00047556078 |
|    clip_fraction        | 0.00893       |
|    clip_range           | 0.147         |
|    entropy_loss         | -0.0726       |
|    explained_variance   | 0.494         |
|    learning_rate        | 0.000245      |
|    loss                 | 0.0367        |
|    n_updates            | 124           |
|    policy_gradient_loss | -0.00083      |
|    value_loss           | 0.076         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 39.9          |
|    ep_rew_mean          | 3.83          |
| time/                   |               |
|    fps                  | 18681         |
|    iterations           | 33            |
|    time_elapsed         | 115           |
|    total_timesteps      | 2162688       |
| train/                  |               |
|    approx_kl            | 0.00036591652 |
|    clip_fraction        | 0.0085        |
|    clip_range           | 0.147         |
|    entropy_loss         | -0.0699       |
|    explained_variance   | 0.499         |
|    learning_rate        | 0.000245      |
|    loss                 | 0.027         |
|    n_updates            | 128           |
|    policy_gradient_loss | -0.000824     |
|    value_loss           | 0.0706        |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 40.3         |
|    ep_rew_mean          | 3.69         |
| time/                   |              |
|    fps                  | 18689        |
|    iterations           | 34           |
|    time_elapsed         | 119          |
|    total_timesteps      | 2228224      |
| train/                  |              |
|    approx_kl            | 0.0004573941 |
|    clip_fraction        | 0.00928      |
|    clip_range           | 0.147        |
|    entropy_loss         | -0.0686      |
|    explained_variance   | 0.504        |
|    learning_rate        | 0.000245     |
|    loss                 | 0.0409       |
|    n_updates            | 132          |
|    policy_gradient_loss | -0.000808    |
|    value_loss           | 0.0714       |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 40.3          |
|    ep_rew_mean          | 3.94          |
| time/                   |               |
|    fps                  | 18696         |
|    iterations           | 35            |
|    time_elapsed         | 122           |
|    total_timesteps      | 2293760       |
| train/                  |               |
|    approx_kl            | 0.00037188668 |
|    clip_fraction        | 0.00794       |
|    clip_range           | 0.147         |
|    entropy_loss         | -0.0656       |
|    explained_variance   | 0.511         |
|    learning_rate        | 0.000244      |
|    loss                 | 0.0297        |
|    n_updates            | 136           |
|    policy_gradient_loss | -0.000654     |
|    value_loss           | 0.067         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 40.3          |
|    ep_rew_mean          | 3.8           |
| time/                   |               |
|    fps                  | 18702         |
|    iterations           | 36            |
|    time_elapsed         | 126           |
|    total_timesteps      | 2359296       |
| train/                  |               |
|    approx_kl            | 0.00039319746 |
|    clip_fraction        | 0.00724       |
|    clip_range           | 0.147         |
|    entropy_loss         | -0.0651       |
|    explained_variance   | 0.51          |
|    learning_rate        | 0.000244      |
|    loss                 | 0.0297        |
|    n_updates            | 140           |
|    policy_gradient_loss | -0.000666     |
|    value_loss           | 0.0682        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 39.1          |
|    ep_rew_mean          | 3.73          |
| time/                   |               |
|    fps                  | 18701         |
|    iterations           | 37            |
|    time_elapsed         | 129           |
|    total_timesteps      | 2424832       |
| train/                  |               |
|    approx_kl            | 0.00040033387 |
|    clip_fraction        | 0.00795       |
|    clip_range           | 0.147         |
|    entropy_loss         | -0.0635       |
|    explained_variance   | 0.501         |
|    learning_rate        | 0.000244      |
|    loss                 | 0.0271        |
|    n_updates            | 144           |
|    policy_gradient_loss | -0.000732     |
|    value_loss           | 0.0675        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 39.5          |
|    ep_rew_mean          | 3.78          |
| time/                   |               |
|    fps                  | 18699         |
|    iterations           | 38            |
|    time_elapsed         | 133           |
|    total_timesteps      | 2490368       |
| train/                  |               |
|    approx_kl            | 0.00040640534 |
|    clip_fraction        | 0.00837       |
|    clip_range           | 0.147         |
|    entropy_loss         | -0.0647       |
|    explained_variance   | 0.495         |
|    learning_rate        | 0.000244      |
|    loss                 | 0.0363        |
|    n_updates            | 148           |
|    policy_gradient_loss | -0.000745     |
|    value_loss           | 0.067         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 39           |
|    ep_rew_mean          | 3.69         |
| time/                   |              |
|    fps                  | 18702        |
|    iterations           | 39           |
|    time_elapsed         | 136          |
|    total_timesteps      | 2555904      |
| train/                  |              |
|    approx_kl            | 0.0003882728 |
|    clip_fraction        | 0.00806      |
|    clip_range           | 0.147        |
|    entropy_loss         | -0.0633      |
|    explained_variance   | 0.508        |
|    learning_rate        | 0.000244     |
|    loss                 | 0.032        |
|    n_updates            | 152          |
|    policy_gradient_loss | -0.000684    |
|    value_loss           | 0.0643       |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38.2          |
|    ep_rew_mean          | 3.66          |
| time/                   |               |
|    fps                  | 18701         |
|    iterations           | 40            |
|    time_elapsed         | 140           |
|    total_timesteps      | 2621440       |
| train/                  |               |
|    approx_kl            | 0.00042350177 |
|    clip_fraction        | 0.00832       |
|    clip_range           | 0.147         |
|    entropy_loss         | -0.0631       |
|    explained_variance   | 0.51          |
|    learning_rate        | 0.000244      |
|    loss                 | 0.0297        |
|    n_updates            | 156           |
|    policy_gradient_loss | -0.000587     |
|    value_loss           | 0.0649        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 39.5          |
|    ep_rew_mean          | 3.76          |
| time/                   |               |
|    fps                  | 18701         |
|    iterations           | 41            |
|    time_elapsed         | 143           |
|    total_timesteps      | 2686976       |
| train/                  |               |
|    approx_kl            | 0.00038390775 |
|    clip_fraction        | 0.00835       |
|    clip_range           | 0.147         |
|    entropy_loss         | -0.063        |
|    explained_variance   | 0.503         |
|    learning_rate        | 0.000244      |
|    loss                 | 0.0276        |
|    n_updates            | 160           |
|    policy_gradient_loss | -0.000628     |
|    value_loss           | 0.0638        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 41.5          |
|    ep_rew_mean          | 3.9           |
| time/                   |               |
|    fps                  | 18703         |
|    iterations           | 42            |
|    time_elapsed         | 147           |
|    total_timesteps      | 2752512       |
| train/                  |               |
|    approx_kl            | 0.00038322393 |
|    clip_fraction        | 0.00846       |
|    clip_range           | 0.147         |
|    entropy_loss         | -0.0612       |
|    explained_variance   | 0.534         |
|    learning_rate        | 0.000243      |
|    loss                 | 0.0245        |
|    n_updates            | 164           |
|    policy_gradient_loss | -0.00081      |
|    value_loss           | 0.0601        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 40.5          |
|    ep_rew_mean          | 3.86          |
| time/                   |               |
|    fps                  | 18701         |
|    iterations           | 43            |
|    time_elapsed         | 150           |
|    total_timesteps      | 2818048       |
| train/                  |               |
|    approx_kl            | 0.00039630785 |
|    clip_fraction        | 0.00852       |
|    clip_range           | 0.147         |
|    entropy_loss         | -0.0588       |
|    explained_variance   | 0.522         |
|    learning_rate        | 0.000243      |
|    loss                 | 0.0346        |
|    n_updates            | 168           |
|    policy_gradient_loss | -0.000702     |
|    value_loss           | 0.0567        |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 39.5         |
|    ep_rew_mean          | 3.94         |
| time/                   |              |
|    fps                  | 18697        |
|    iterations           | 44           |
|    time_elapsed         | 154          |
|    total_timesteps      | 2883584      |
| train/                  |              |
|    approx_kl            | 0.0004349086 |
|    clip_fraction        | 0.00946      |
|    clip_range           | 0.146        |
|    entropy_loss         | -0.0609      |
|    explained_variance   | 0.522        |
|    learning_rate        | 0.000243     |
|    loss                 | 0.0251       |
|    n_updates            | 172          |
|    policy_gradient_loss | -0.000696    |
|    value_loss           | 0.0602       |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 40            |
|    ep_rew_mean          | 3.89          |
| time/                   |               |
|    fps                  | 18689         |
|    iterations           | 45            |
|    time_elapsed         | 157           |
|    total_timesteps      | 2949120       |
| train/                  |               |
|    approx_kl            | 0.00043425555 |
|    clip_fraction        | 0.00885       |
|    clip_range           | 0.146         |
|    entropy_loss         | -0.0608       |
|    explained_variance   | 0.516         |
|    learning_rate        | 0.000243      |
|    loss                 | 0.0333        |
|    n_updates            | 176           |
|    policy_gradient_loss | -0.000785     |
|    value_loss           | 0.0599        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 40.5          |
|    ep_rew_mean          | 4.02          |
| time/                   |               |
|    fps                  | 18688         |
|    iterations           | 46            |
|    time_elapsed         | 161           |
|    total_timesteps      | 3014656       |
| train/                  |               |
|    approx_kl            | 0.00043448637 |
|    clip_fraction        | 0.00904       |
|    clip_range           | 0.146         |
|    entropy_loss         | -0.0597       |
|    explained_variance   | 0.517         |
|    learning_rate        | 0.000243      |
|    loss                 | 0.0266        |
|    n_updates            | 180           |
|    policy_gradient_loss | -0.000787     |
|    value_loss           | 0.0607        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 39.3          |
|    ep_rew_mean          | 3.88          |
| time/                   |               |
|    fps                  | 18688         |
|    iterations           | 47            |
|    time_elapsed         | 164           |
|    total_timesteps      | 3080192       |
| train/                  |               |
