Logging to logs/PPO_7
---------------------------------
| rollout/           |          |
|    total_timesteps      | 2228224    |
| train/                  |            |
|    approx_kl            | 0.01924281 |
|    clip_fraction        | 0.149      |
|    clip_range           | 0.147      |
|    entropy_loss         | -0.238     |
|    explained_variance   | 0.897      |
|    learning_rate        | 0.00049    |
|    loss                 | 0.00199    |
|    n_updates            | 64         |
|    policy_gradient_loss | -0.00314   |
|    value_loss           | 0.0204     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 160         |
|    ep_rew_mean          | 3.79        |
| time/                   |             |
|    fps                  | 1704        |
|    iterations           | 18          |
|    time_elapsed         | 1383        |
|    total_timesteps      | 2359296     |
| train/                  |             |
|    approx_kl            | 0.018649722 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.224      |
|    explained_variance   | 0.915       |
|    learning_rate        | 0.000489    |
|    loss                 | 0.00151     |
|    n_updates            | 68          |
|    policy_gradient_loss | -0.00184    |
|    value_loss           | 0.0205      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 156         |
|    ep_rew_mean          | 3.8         |
| time/                   |             |
|    fps                  | 1699        |
|    iterations           | 19          |
|    time_elapsed         | 1465        |
|    total_timesteps      | 2490368     |
| train/                  |             |
|    approx_kl            | 0.018921262 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.218      |
|    explained_variance   | 0.921       |
|    learning_rate        | 0.000488    |
|    loss                 | 0.00265     |
|    n_updates            | 72          |
|    policy_gradient_loss | -0.00205    |
|    value_loss           | 0.021       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 164         |
|    ep_rew_mean          | 4.16        |
| time/                   |             |
|    fps                  | 1696        |
|    iterations           | 20          |
|    time_elapsed         | 1545        |
|    total_timesteps      | 2621440     |
| train/                  |             |
|    approx_kl            | 0.016862374 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.211      |
|    explained_variance   | 0.934       |
|    learning_rate        | 0.000488    |
|    loss                 | 0.00072     |
|    n_updates            | 76          |
|    policy_gradient_loss | -0.00178    |
|    value_loss           | 0.0193      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 153         |
|    ep_rew_mean          | 4.27        |
| time/                   |             |
|    fps                  | 1698        |
|    iterations           | 21          |
|    time_elapsed         | 1620        |
|    total_timesteps      | 2752512     |
| train/                  |             |
|    approx_kl            | 0.022844974 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.196      |
|    explained_variance   | 0.935       |
|    learning_rate        | 0.000487    |
|    loss                 | 0.00285     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.000542   |
|    value_loss           | 0.0199      |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 152       |
|    ep_rew_mean          | 4.07      |
| time/                   |           |
|    fps                  | 1699      |
|    iterations           | 22        |
|    time_elapsed         | 1696      |
|    total_timesteps      | 2883584   |
| train/                  |           |
|    approx_kl            | 0.0209094 |
|    clip_fraction        | 0.127     |
|    clip_range           | 0.147     |
|    entropy_loss         | -0.176    |
|    explained_variance   | 0.935     |
|    learning_rate        | 0.000486  |
|    loss                 | 0.00585   |
|    n_updates            | 84        |
|    policy_gradient_loss | 0.000281  |
|    value_loss           | 0.0208    |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 148         |
|    ep_rew_mean          | 4.11        |
| time/                   |             |
|    fps                  | 1700        |
|    iterations           | 23          |
|    time_elapsed         | 1772        |
|    total_timesteps      | 3014656     |
| train/                  |             |
|    approx_kl            | 0.021766488 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.146       |
|    entropy_loss         | -0.162      |
|    explained_variance   | 0.928       |
|    learning_rate        | 0.000486    |
|    loss                 | 0.00675     |
|    n_updates            | 88          |
|    policy_gradient_loss | -6.97e-05   |
|    value_loss           | 0.022       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 147         |
|    ep_rew_mean          | 4           |
| time/                   |             |
|    fps                  | 1702        |
|    iterations           | 24          |
|    time_elapsed         | 1847        |
|    total_timesteps      | 3145728     |
| train/                  |             |
|    approx_kl            | 0.024288435 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.146       |
|    entropy_loss         | -0.149      |
|    explained_variance   | 0.932       |
|    learning_rate        | 0.000485    |
|    loss                 | 0.00355     |
|    n_updates            | 92          |
|    policy_gradient_loss | 0.000404    |
|    value_loss           | 0.023       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 146         |
|    ep_rew_mean          | 4.12        |
| time/                   |             |
|    fps                  | 1703        |
|    iterations           | 25          |
|    time_elapsed         | 1923        |
|    total_timesteps      | 3276800     |
| train/                  |             |
|    approx_kl            | 0.016830282 |
|    clip_fraction        | 0.0983      |
|    clip_range           | 0.146       |
|    entropy_loss         | -0.154      |
|    explained_variance   | 0.932       |
|    learning_rate        | 0.000484    |
|    loss                 | 0.00444     |
|    n_updates            | 96          |
|    policy_gradient_loss | 0.000434    |
|    value_loss           | 0.0202      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 148         |
|    ep_rew_mean          | 4           |
| time/                   |             |
|    fps                  | 1705        |
|    iterations           | 26          |
|    time_elapsed         | 1998        |
|    total_timesteps      | 3407872     |
| train/                  |             |
|    approx_kl            | 0.021481883 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.146       |
|    entropy_loss         | -0.155      |
|    explained_variance   | 0.935       |
|    learning_rate        | 0.000484    |
|    loss                 | 0.00191     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.000516   |
|    value_loss           | 0.0206      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 148         |
|    ep_rew_mean          | 4.26        |
| time/                   |             |
|    fps                  | 1706        |
|    iterations           | 27          |
|    time_elapsed         | 2074        |
|    total_timesteps      | 3538944     |
| train/                  |             |
|    approx_kl            | 0.021794394 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.146       |
|    entropy_loss         | -0.15       |
|    explained_variance   | 0.94        |
|    learning_rate        | 0.000483    |
|    loss                 | 0.00276     |
|    n_updates            | 104         |
|    policy_gradient_loss | -0.000923   |
|    value_loss           | 0.0196      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 154         |
|    ep_rew_mean          | 4.31        |
| time/                   |             |
|    fps                  | 1707        |
|    iterations           | 28          |
|    time_elapsed         | 2149        |
|    total_timesteps      | 3670016     |
| train/                  |             |
|    approx_kl            | 0.023706973 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.146       |
|    entropy_loss         | -0.146      |
|    explained_variance   | 0.927       |
|    learning_rate        | 0.000482    |
|    loss                 | 0.0126      |
|    n_updates            | 108         |
|    policy_gradient_loss | 0.0013      |
|    value_loss           | 0.0237      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 150        |
|    ep_rew_mean          | 4.4        |
| time/                   |            |
|    fps                  | 1708       |
|    iterations           | 29         |
|    time_elapsed         | 2225       |
|    total_timesteps      | 3801088    |
| train/                  |            |
|    approx_kl            | 0.01819206 |
|    clip_fraction        | 0.103      |
|    clip_range           | 0.145      |
|    entropy_loss         | -0.142     |
|    explained_variance   | 0.942      |
|    learning_rate        | 0.000482   |
|    loss                 | 0.00245    |
|    n_updates            | 112        |
|    policy_gradient_loss | 0.000166   |
|    value_loss           | 0.0195     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 155         |
|    ep_rew_mean          | 4.8         |
| time/                   |             |
|    fps                  | 1709        |
|    iterations           | 30          |
|    time_elapsed         | 2300        |
|    total_timesteps      | 3932160     |
| train/                  |             |
|    approx_kl            | 0.028598655 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.145       |
|    entropy_loss         | -0.127      |
|    explained_variance   | 0.949       |
|    learning_rate        | 0.000481    |
|    loss                 | 0.00324     |
|    n_updates            | 116         |
|    policy_gradient_loss | 0.00239     |
|    value_loss           | 0.019       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 146         |
|    ep_rew_mean          | 4.33        |
| time/                   |             |
|    fps                  | 1709        |
|    iterations           | 31          |
|    time_elapsed         | 2376        |
|    total_timesteps      | 4063232     |
| train/                  |             |
|    approx_kl            | 0.021300742 |
|    clip_fraction        | 0.0933      |
|    clip_range           | 0.145       |
|    entropy_loss         | -0.12       |
|    explained_variance   | 0.946       |
|    learning_rate        | 0.00048     |
|    loss                 | 0.00439     |
|    n_updates            | 120         |
|    policy_gradient_loss | 0.000272    |
|    value_loss           | 0.0196      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 148        |
|    ep_rew_mean          | 4.77       |
| time/                   |            |
|    fps                  | 1710       |
|    iterations           | 32         |
|    time_elapsed         | 2451       |
|    total_timesteps      | 4194304    |
| train/                  |            |
|    approx_kl            | 0.02217411 |
|    clip_fraction        | 0.0883     |
|    clip_range           | 0.145      |
|    entropy_loss         | -0.11      |
|    explained_variance   | 0.943      |
|    learning_rate        | 0.00048    |
|    loss                 | 0.0059     |
|    n_updates            | 124        |
|    policy_gradient_loss | 0.000685   |
|    value_loss           | 0.0203     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 145         |
|    ep_rew_mean          | 4.46        |
| time/                   |             |
|    fps                  | 1711        |
|    iterations           | 33          |
|    time_elapsed         | 2527        |
|    total_timesteps      | 4325376     |
| train/                  |             |
|    approx_kl            | 0.021139376 |
|    clip_fraction        | 0.0834      |
|    clip_range           | 0.145       |
|    entropy_loss         | -0.106      |
|    explained_variance   | 0.941       |
|    learning_rate        | 0.000479    |
|    loss                 | 0.00517     |
|    n_updates            | 128         |
|    policy_gradient_loss | -0.000183   |
|    value_loss           | 0.0213      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 148         |
|    ep_rew_mean          | 4.64        |
| time/                   |             |
|    fps                  | 1712        |
|    iterations           | 34          |
|    time_elapsed         | 2602        |
|    total_timesteps      | 4456448     |
| train/                  |             |
|    approx_kl            | 0.019328112 |
|    clip_fraction        | 0.0794      |
|    clip_range           | 0.145       |
|    entropy_loss         | -0.103      |
|    explained_variance   | 0.949       |
|    learning_rate        | 0.000478    |
|    loss                 | 0.00342     |
|    n_updates            | 132         |
|    policy_gradient_loss | 0.000248    |
|    value_loss           | 0.0183      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 144        |
|    ep_rew_mean          | 4.41       |
| time/                   |            |
|    fps                  | 1712       |
|    iterations           | 35         |
|    time_elapsed         | 2678       |
|    total_timesteps      | 4587520    |
| train/                  |            |
|    approx_kl            | 0.01928627 |
|    clip_fraction        | 0.0764     |
|    clip_range           | 0.144      |
|    entropy_loss         | -0.0957    |
|    explained_variance   | 0.953      |
|    learning_rate        | 0.000478   |
|    loss                 | 0.00294    |
|    n_updates            | 136        |
|    policy_gradient_loss | -1.92e-05  |
|    value_loss           | 0.0176     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 148        |
|    ep_rew_mean          | 4.65       |
| time/                   |            |
|    fps                  | 1713       |
|    iterations           | 36         |
|    time_elapsed         | 2753       |
|    total_timesteps      | 4718592    |
| train/                  |            |
|    approx_kl            | 0.02100183 |
|    clip_fraction        | 0.0775     |
|    clip_range           | 0.144      |
|    entropy_loss         | -0.094     |
|    explained_variance   | 0.946      |
|    learning_rate        | 0.000477   |
|    loss                 | 0.00671    |
|    n_updates            | 140        |
|    policy_gradient_loss | 0.00104    |
|    value_loss           | 0.0202     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 146        |
|    ep_rew_mean          | 4.61       |
| time/                   |            |
|    fps                  | 1714       |
|    iterations           | 37         |
|    time_elapsed         | 2829       |
|    total_timesteps      | 4849664    |
| train/                  |            |
|    approx_kl            | 0.01977473 |
|    clip_fraction        | 0.0673     |
|    clip_range           | 0.144      |
|    entropy_loss         | -0.0885    |
|    explained_variance   | 0.945      |
|    learning_rate        | 0.000477   |
|    loss                 | 0.00489    |
|    n_updates            | 144        |
|    policy_gradient_loss | -0.000569  |
|    value_loss           | 0.0196     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 147         |
|    ep_rew_mean          | 4.82        |
| time/                   |             |
|    fps                  | 1714        |
|    iterations           | 38          |
|    time_elapsed         | 2905        |
|    total_timesteps      | 4980736     |
| train/                  |             |
|    approx_kl            | 0.019591454 |
|    clip_fraction        | 0.0697      |
|    clip_range           | 0.144       |
|    entropy_loss         | -0.0867     |
|    explained_variance   | 0.948       |
|    learning_rate        | 0.000476    |
|    loss                 | 0.00382     |
|    n_updates            | 148         |
|    policy_gradient_loss | -0.00037    |
|    value_loss           | 0.0187      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 145         |
|    ep_rew_mean          | 4.7         |
| time/                   |             |
|    fps                  | 1713        |
|    iterations           | 39          |
|    time_elapsed         | 2982        |
|    total_timesteps      | 5111808     |
| train/                  |             |
|    approx_kl            | 0.017182138 |
|    clip_fraction        | 0.0666      |
|    clip_range           | 0.144       |
|    entropy_loss         | -0.0846     |
|    explained_variance   | 0.957       |
|    learning_rate        | 0.000475    |
|    loss                 | 0.00251     |
|    n_updates            | 152         |
|    policy_gradient_loss | -0.000571   |
|    value_loss           | 0.0174      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 149         |
|    ep_rew_mean          | 4.8         |
| time/                   |             |
|    fps                  | 1713        |
|    iterations           | 40          |
|    time_elapsed         | 3059        |
|    total_timesteps      | 5242880     |
| train/                  |             |
|    approx_kl            | 0.018827878 |
|    clip_fraction        | 0.0664      |
|    clip_range           | 0.144       |
|    entropy_loss         | -0.0792     |
|    explained_variance   | 0.953       |
|    learning_rate        | 0.000475    |
|    loss                 | 0.00434     |
|    n_updates            | 156         |
|    policy_gradient_loss | 0.00044     |
|    value_loss           | 0.0178      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 142         |
|    ep_rew_mean          | 4.89        |
| time/                   |             |
|    fps                  | 1712        |
|    iterations           | 41          |
|    time_elapsed         | 3138        |
|    total_timesteps      | 5373952     |
| train/                  |             |
|    approx_kl            | 0.022038825 |
|    clip_fraction        | 0.0679      |
|    clip_range           | 0.143       |
|    entropy_loss         | -0.0785     |
|    explained_variance   | 0.951       |
|    learning_rate        | 0.000474    |
|    loss                 | 0.00407     |
|    n_updates            | 160         |
|    policy_gradient_loss | 0.000292    |
|    value_loss           | 0.018       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 144        |
|    ep_rew_mean          | 4.72       |
| time/                   |            |
|    fps                  | 1711       |
|    iterations           | 42         |
|    time_elapsed         | 3216       |
|    total_timesteps      | 5505024    |
| train/                  |            |
|    approx_kl            | 0.02850619 |
|    clip_fraction        | 0.0687     |
|    clip_range           | 0.143      |
|    entropy_loss         | -0.0745    |
|    explained_variance   | 0.95       |
|    learning_rate        | 0.000473   |
|    loss                 | 0.00763    |
|    n_updates            | 164        |
|    policy_gradient_loss | 0.00246    |
|    value_loss           | 0.0192     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 145        |
|    ep_rew_mean          | 4.65       |
| time/                   |            |
|    fps                  | 1705       |
|    iterations           | 43         |
|    time_elapsed         | 3305       |
|    total_timesteps      | 5636096    |
| train/                  |            |
|    approx_kl            | 0.01890163 |
|    clip_fraction        | 0.0615     |
|    clip_range           | 0.143      |
|    entropy_loss         | -0.0731    |
|    explained_variance   | 0.951      |
|    learning_rate        | 0.000473   |
|    loss                 | 0.00423    |
|    n_updates            | 168        |
|    policy_gradient_loss | -0.000219  |
|    value_loss           | 0.0186     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 148         |
|    ep_rew_mean          | 4.61        |
| time/                   |             |
|    fps                  | 1705        |
|    iterations           | 44          |
|    time_elapsed         | 3381        |
|    total_timesteps      | 5767168     |
| train/                  |             |
|    approx_kl            | 0.026667297 |
|    clip_fraction        | 0.0675      |
|    clip_range           | 0.143       |
|    entropy_loss         | -0.071      |
|    explained_variance   | 0.951       |
|    learning_rate        | 0.000472    |
|    loss                 | 0.00585     |
|    n_updates            | 172         |
|    policy_gradient_loss | 0.000538    |
|    value_loss           | 0.0185      |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 151       |
|    ep_rew_mean          | 5.09      |
| time/                   |           |
|    fps                  | 1706      |
|    iterations           | 45        |
|    time_elapsed         | 3457      |
|    total_timesteps      | 5898240   |
| train/                  |           |
|    approx_kl            | 0.0218646 |
|    clip_fraction        | 0.0624    |
|    clip_range           | 0.143     |
|    entropy_loss         | -0.0717   |
|    explained_variance   | 0.953     |
|    learning_rate        | 0.000471  |
|    loss                 | 0.00521   |
|    n_updates            | 176       |
|    policy_gradient_loss | 0.000248  |
|    value_loss           | 0.0175    |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 149         |
|    ep_rew_mean          | 4.92        |
| time/                   |             |
|    fps                  | 1706        |
|    iterations           | 46          |
|    time_elapsed         | 3532        |
|    total_timesteps      | 6029312     |
| train/                  |             |
|    approx_kl            | 0.024755497 |
|    clip_fraction        | 0.0645      |
|    clip_range           | 0.143       |
|    entropy_loss         | -0.0706     |
|    explained_variance   | 0.956       |
|    learning_rate        | 0.000471    |
|    loss                 | 0.00466     |
|    n_updates            | 180         |
|    policy_gradient_loss | 0.00255     |
|    value_loss           | 0.017       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 143         |
|    ep_rew_mean          | 4.67        |
| time/                   |             |
|    fps                  | 1707        |
|    iterations           | 47          |
|    time_elapsed         | 3608        |
|    total_timesteps      | 6160384     |
| train/                  |             |
|    approx_kl            | 0.020928608 |
|    clip_fraction        | 0.0605      |
|    clip_range           | 0.142       |
|    entropy_loss         | -0.0692     |
|    explained_variance   | 0.958       |
