Logging to logs/ppo_cnn_4x4_1
---------------------------------
| rollout/           |          |
|    clip_fraction        | 0.0648      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0924     |
|    explained_variance   | 0.841       |
|    learning_rate        | 0.000496    |
|    loss                 | 0.00311     |
|    n_updates            | 48          |
|    policy_gradient_loss | -0.000475   |
|    value_loss           | 0.0143      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 38.1        |
|    ep_rew_mean          | 2.27        |
| time/                   |             |
|    fps                  | 1204        |
|    iterations           | 14          |
|    time_elapsed         | 761         |
|    total_timesteps      | 917504      |
| train/                  |             |
|    approx_kl            | 0.012829814 |
|    clip_fraction        | 0.0601      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0782     |
|    explained_variance   | 0.844       |
|    learning_rate        | 0.000496    |
|    loss                 | 0.00489     |
|    n_updates            | 52          |
|    policy_gradient_loss | 0.00242     |
|    value_loss           | 0.0142      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.8        |
|    ep_rew_mean          | 2.24        |
| time/                   |             |
|    fps                  | 1200        |
|    iterations           | 15          |
|    time_elapsed         | 818         |
|    total_timesteps      | 983040      |
| train/                  |             |
|    approx_kl            | 0.020209825 |
|    clip_fraction        | 0.0551      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0639     |
|    explained_variance   | 0.835       |
|    learning_rate        | 0.000495    |
|    loss                 | 0.00508     |
|    n_updates            | 56          |
|    policy_gradient_loss | 0.00368     |
|    value_loss           | 0.0156      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 38.1        |
|    ep_rew_mean          | 2.26        |
| time/                   |             |
|    fps                  | 1198        |
|    iterations           | 16          |
|    time_elapsed         | 874         |
|    total_timesteps      | 1048576     |
| train/                  |             |
|    approx_kl            | 0.019423544 |
|    clip_fraction        | 0.0439      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0531     |
|    explained_variance   | 0.813       |
|    learning_rate        | 0.000495    |
|    loss                 | 0.00857     |
|    n_updates            | 60          |
|    policy_gradient_loss | 0.00251     |
|    value_loss           | 0.0168      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.2        |
|    ep_rew_mean          | 2.26        |
| time/                   |             |
|    fps                  | 1199        |
|    iterations           | 17          |
|    time_elapsed         | 929         |
|    total_timesteps      | 1114112     |
| train/                  |             |
|    approx_kl            | 0.031069089 |
|    clip_fraction        | 0.0432      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0429     |
|    explained_variance   | 0.807       |
|    learning_rate        | 0.000495    |
|    loss                 | 0.00881     |
|    n_updates            | 64          |
|    policy_gradient_loss | 0.00358     |
|    value_loss           | 0.0161      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.2        |
|    ep_rew_mean          | 2.23        |
| time/                   |             |
|    fps                  | 1195        |
|    iterations           | 18          |
|    time_elapsed         | 986         |
|    total_timesteps      | 1179648     |
| train/                  |             |
|    approx_kl            | 0.025339548 |
|    clip_fraction        | 0.0359      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0397     |
|    explained_variance   | 0.828       |
|    learning_rate        | 0.000494    |
|    loss                 | 0.00733     |
|    n_updates            | 68          |
|    policy_gradient_loss | 0.00246     |
|    value_loss           | 0.0143      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 38.8        |
|    ep_rew_mean          | 2.27        |
| time/                   |             |
|    fps                  | 1192        |
|    iterations           | 19          |
|    time_elapsed         | 1044        |
|    total_timesteps      | 1245184     |
| train/                  |             |
|    approx_kl            | 0.018967334 |
|    clip_fraction        | 0.0301      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.0376     |
|    explained_variance   | 0.834       |
|    learning_rate        | 0.000494    |
|    loss                 | 0.00812     |
|    n_updates            | 72          |
|    policy_gradient_loss | 0.00111     |
|    value_loss           | 0.0136      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.9        |
|    ep_rew_mean          | 2.29        |
| time/                   |             |
|    fps                  | 1190        |
|    iterations           | 20          |
|    time_elapsed         | 1101        |
|    total_timesteps      | 1310720     |
| train/                  |             |
|    approx_kl            | 0.019103926 |
|    clip_fraction        | 0.0332      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0362     |
|    explained_variance   | 0.868       |
|    learning_rate        | 0.000494    |
|    loss                 | 0.00506     |
|    n_updates            | 76          |
|    policy_gradient_loss | 0.000714    |
|    value_loss           | 0.00968     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.4        |
|    ep_rew_mean          | 2.26        |
| time/                   |             |
|    fps                  | 1190        |
|    iterations           | 21          |
|    time_elapsed         | 1156        |
|    total_timesteps      | 1376256     |
| train/                  |             |
|    approx_kl            | 0.014922202 |
|    clip_fraction        | 0.0307      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0345     |
|    explained_variance   | 0.843       |
|    learning_rate        | 0.000493    |
|    loss                 | 0.00478     |
|    n_updates            | 80          |
|    policy_gradient_loss | 0.000442    |
|    value_loss           | 0.0129      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.2        |
|    ep_rew_mean          | 2.25        |
| time/                   |             |
|    fps                  | 1188        |
|    iterations           | 22          |
|    time_elapsed         | 1212        |
|    total_timesteps      | 1441792     |
| train/                  |             |
|    approx_kl            | 0.016413357 |
|    clip_fraction        | 0.0304      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0327     |
|    explained_variance   | 0.864       |
|    learning_rate        | 0.000493    |
|    loss                 | 0.00422     |
|    n_updates            | 84          |
|    policy_gradient_loss | 0.00272     |
|    value_loss           | 0.0104      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.8        |
|    ep_rew_mean          | 2.25        |
| time/                   |             |
|    fps                  | 1186        |
|    iterations           | 23          |
|    time_elapsed         | 1270        |
|    total_timesteps      | 1507328     |
| train/                  |             |
|    approx_kl            | 0.025019938 |
|    clip_fraction        | 0.0291      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0309     |
|    explained_variance   | 0.84        |
|    learning_rate        | 0.000493    |
|    loss                 | 0.00774     |
|    n_updates            | 88          |
|    policy_gradient_loss | 0.00302     |
|    value_loss           | 0.0139      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 38.2       |
|    ep_rew_mean          | 2.28       |
| time/                   |            |
|    fps                  | 1184       |
|    iterations           | 24         |
|    time_elapsed         | 1327       |
|    total_timesteps      | 1572864    |
| train/                  |            |
|    approx_kl            | 0.01416032 |
|    clip_fraction        | 0.0252     |
|    clip_range           | 0.148      |
|    entropy_loss         | -0.0286    |
|    explained_variance   | 0.856      |
|    learning_rate        | 0.000493   |
|    loss                 | 0.00508    |
|    n_updates            | 92         |
|    policy_gradient_loss | 0.000979   |
|    value_loss           | 0.0112     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.9        |
|    ep_rew_mean          | 2.29        |
| time/                   |             |
|    fps                  | 1184        |
|    iterations           | 25          |
|    time_elapsed         | 1382        |
|    total_timesteps      | 1638400     |
| train/                  |             |
|    approx_kl            | 0.025113704 |
|    clip_fraction        | 0.0284      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0304     |
|    explained_variance   | 0.835       |
|    learning_rate        | 0.000492    |
|    loss                 | 0.00721     |
|    n_updates            | 96          |
|    policy_gradient_loss | 0.00214     |
|    value_loss           | 0.0133      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.8        |
|    ep_rew_mean          | 2.29        |
| time/                   |             |
|    fps                  | 1189        |
|    iterations           | 26          |
|    time_elapsed         | 1432        |
|    total_timesteps      | 1703936     |
| train/                  |             |
|    approx_kl            | 0.014965169 |
|    clip_fraction        | 0.0253      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0277     |
|    explained_variance   | 0.888       |
|    learning_rate        | 0.000492    |
|    loss                 | 0.00442     |
|    n_updates            | 100         |
|    policy_gradient_loss | 0.00239     |
|    value_loss           | 0.00761     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.4        |
|    ep_rew_mean          | 2.29        |
| time/                   |             |
|    fps                  | 1189        |
|    iterations           | 27          |
|    time_elapsed         | 1487        |
|    total_timesteps      | 1769472     |
| train/                  |             |
|    approx_kl            | 0.011425893 |
|    clip_fraction        | 0.0243      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0256     |
|    explained_variance   | 0.874       |
|    learning_rate        | 0.000492    |
|    loss                 | 0.00326     |
|    n_updates            | 104         |
|    policy_gradient_loss | 0.00164     |
|    value_loss           | 0.00967     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37          |
|    ep_rew_mean          | 2.24        |
| time/                   |             |
|    fps                  | 1191        |
|    iterations           | 28          |
|    time_elapsed         | 1540        |
|    total_timesteps      | 1835008     |
| train/                  |             |
|    approx_kl            | 0.008753955 |
|    clip_fraction        | 0.0208      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0249     |
|    explained_variance   | 0.883       |
|    learning_rate        | 0.000491    |
|    loss                 | 0.00259     |
|    n_updates            | 108         |
|    policy_gradient_loss | 5.37e-05    |
|    value_loss           | 0.00849     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37          |
|    ep_rew_mean          | 2.26        |
| time/                   |             |
|    fps                  | 1193        |
|    iterations           | 29          |
|    time_elapsed         | 1591        |
|    total_timesteps      | 1900544     |
| train/                  |             |
|    approx_kl            | 0.037343994 |
|    clip_fraction        | 0.0295      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.024      |
|    explained_variance   | 0.877       |
|    learning_rate        | 0.000491    |
|    loss                 | 0.0158      |
|    n_updates            | 112         |
|    policy_gradient_loss | 0.00283     |
|    value_loss           | 0.00995     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.8        |
|    ep_rew_mean          | 2.21        |
| time/                   |             |
|    fps                  | 1195        |
|    iterations           | 30          |
|    time_elapsed         | 1644        |
|    total_timesteps      | 1966080     |
| train/                  |             |
|    approx_kl            | 0.021266386 |
|    clip_fraction        | 0.0282      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.024      |
|    explained_variance   | 0.858       |
|    learning_rate        | 0.000491    |
|    loss                 | 0.0037      |
|    n_updates            | 116         |
|    policy_gradient_loss | 0.00249     |
|    value_loss           | 0.0105      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.9        |
|    ep_rew_mean          | 2.24        |
| time/                   |             |
|    fps                  | 1197        |
|    iterations           | 31          |
|    time_elapsed         | 1696        |
|    total_timesteps      | 2031616     |
| train/                  |             |
|    approx_kl            | 0.021587847 |
|    clip_fraction        | 0.0226      |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.0225     |
|    explained_variance   | 0.849       |
|    learning_rate        | 0.00049     |
|    loss                 | 0.00595     |
|    n_updates            | 120         |
|    policy_gradient_loss | 0.00158     |
|    value_loss           | 0.012       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37          |
|    ep_rew_mean          | 2.27        |
| time/                   |             |
|    fps                  | 1198        |
|    iterations           | 32          |
|    time_elapsed         | 1749        |
|    total_timesteps      | 2097152     |
| train/                  |             |
|    approx_kl            | 0.023645166 |
|    clip_fraction        | 0.025       |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.022      |
|    explained_variance   | 0.849       |
|    learning_rate        | 0.00049     |
|    loss                 | 0.00703     |
|    n_updates            | 124         |
|    policy_gradient_loss | 0.00293     |
|    value_loss           | 0.0126      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.7        |
|    ep_rew_mean          | 2.27        |
| time/                   |             |
|    fps                  | 1200        |
|    iterations           | 33          |
|    time_elapsed         | 1801        |
|    total_timesteps      | 2162688     |
| train/                  |             |
|    approx_kl            | 0.028207958 |
|    clip_fraction        | 0.0259      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.022      |
|    explained_variance   | 0.85        |
|    learning_rate        | 0.00049     |
|    loss                 | 0.00736     |
|    n_updates            | 128         |
|    policy_gradient_loss | 0.00282     |
|    value_loss           | 0.0127      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37          |
|    ep_rew_mean          | 2.27        |
| time/                   |             |
|    fps                  | 1200        |
|    iterations           | 34          |
|    time_elapsed         | 1855        |
|    total_timesteps      | 2228224     |
| train/                  |             |
|    approx_kl            | 0.011238541 |
|    clip_fraction        | 0.0203      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0202     |
|    explained_variance   | 0.869       |
|    learning_rate        | 0.000489    |
|    loss                 | 0.00334     |
|    n_updates            | 132         |
|    policy_gradient_loss | 0.000722    |
|    value_loss           | 0.00952     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.1        |
|    ep_rew_mean          | 2.28        |
| time/                   |             |
|    fps                  | 1202        |
|    iterations           | 35          |
|    time_elapsed         | 1907        |
|    total_timesteps      | 2293760     |
| train/                  |             |
|    approx_kl            | 0.034249038 |
|    clip_fraction        | 0.0252      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0208     |
|    explained_variance   | 0.888       |
|    learning_rate        | 0.000489    |
|    loss                 | 0.00501     |
|    n_updates            | 136         |
|    policy_gradient_loss | 0.00373     |
|    value_loss           | 0.00915     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.5        |
|    ep_rew_mean          | 2.23        |
| time/                   |             |
|    fps                  | 1203        |
|    iterations           | 36          |
|    time_elapsed         | 1960        |
|    total_timesteps      | 2359296     |
| train/                  |             |
|    approx_kl            | 0.016479716 |
|    clip_fraction        | 0.0182      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0183     |
|    explained_variance   | 0.885       |
|    learning_rate        | 0.000489    |
|    loss                 | 0.00343     |
|    n_updates            | 140         |
|    policy_gradient_loss | 0.000263    |
|    value_loss           | 0.00826     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.6        |
|    ep_rew_mean          | 2.24        |
| time/                   |             |
|    fps                  | 1205        |
|    iterations           | 37          |
|    time_elapsed         | 2011        |
|    total_timesteps      | 2424832     |
| train/                  |             |
|    approx_kl            | 0.016168691 |
|    clip_fraction        | 0.0187      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0179     |
|    explained_variance   | 0.849       |
|    learning_rate        | 0.000488    |
|    loss                 | 0.00422     |
|    n_updates            | 144         |
|    policy_gradient_loss | 0.00139     |
|    value_loss           | 0.0115      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.6        |
|    ep_rew_mean          | 2.28        |
| time/                   |             |
|    fps                  | 1205        |
|    iterations           | 38          |
|    time_elapsed         | 2065        |
|    total_timesteps      | 2490368     |
| train/                  |             |
|    approx_kl            | 0.018075934 |
|    clip_fraction        | 0.0177      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0187     |
|    explained_variance   | 0.852       |
|    learning_rate        | 0.000488    |
|    loss                 | 0.00596     |
|    n_updates            | 148         |
|    policy_gradient_loss | 0.00505     |
|    value_loss           | 0.0124      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 35.7        |
|    ep_rew_mean          | 2.23        |
| time/                   |             |
|    fps                  | 1206        |
|    iterations           | 39          |
|    time_elapsed         | 2118        |
|    total_timesteps      | 2555904     |
| train/                  |             |
|    approx_kl            | 0.031634912 |
|    clip_fraction        | 0.0233      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0177     |
|    explained_variance   | 0.883       |
|    learning_rate        | 0.000488    |
|    loss                 | 0.00343     |
|    n_updates            | 152         |
|    policy_gradient_loss | 0.00349     |
|    value_loss           | 0.00812     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 35.7        |
|    ep_rew_mean          | 2.23        |
| time/                   |             |
|    fps                  | 1207        |
|    iterations           | 40          |
|    time_elapsed         | 2171        |
|    total_timesteps      | 2621440     |
| train/                  |             |
|    approx_kl            | 0.028590329 |
|    clip_fraction        | 0.0224      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0181     |
|    explained_variance   | 0.856       |
|    learning_rate        | 0.000487    |
|    loss                 | 0.00493     |
|    n_updates            | 156         |
|    policy_gradient_loss | 0.00811     |
|    value_loss           | 0.0115      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.1        |
|    ep_rew_mean          | 2.3         |
| time/                   |             |
|    fps                  | 1208        |
|    iterations           | 41          |
|    time_elapsed         | 2222        |
|    total_timesteps      | 2686976     |
| train/                  |             |
|    approx_kl            | 0.056052625 |
|    clip_fraction        | 0.0211      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0182     |
|    explained_variance   | 0.866       |
|    learning_rate        | 0.000487    |
|    loss                 | 0.00492     |
|    n_updates            | 160         |
|    policy_gradient_loss | 0.00188     |
|    value_loss           | 0.0106      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 35.9        |
|    ep_rew_mean          | 2.2         |
| time/                   |             |
|    fps                  | 1210        |
|    iterations           | 42          |
|    time_elapsed         | 2273        |
|    total_timesteps      | 2752512     |
| train/                  |             |
|    approx_kl            | 0.012537947 |
|    clip_fraction        | 0.0173      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0168     |
|    explained_variance   | 0.877       |
|    learning_rate        | 0.000487    |
|    loss                 | 0.00649     |
|    n_updates            | 164         |
|    policy_gradient_loss | 0.00104     |
|    value_loss           | 0.00955     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.3        |
|    ep_rew_mean          | 2.3         |
| time/                   |             |
|    fps                  | 1211        |
|    iterations           | 43          |
|    time_elapsed         | 2325        |
|    total_timesteps      | 2818048     |
| train/                  |             |
|    approx_kl            | 0.015872538 |
|    clip_fraction        | 0.0178      |
|    clip_range           | 0.147       |
|    entropy_loss         | -0.0167     |
|    explained_variance   | 0.858       |
|    learning_rate        | 0.000486    |
|    loss                 | 0.00371     |
|    n_updates            | 168         |
|    policy_gradient_loss | 0.000719    |
|    value_loss           | 0.0108      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.5        |
|    ep_rew_mean          | 2.25        |
| time/                   |             |
|    fps                  | 1212        |
|    iterations           | 44          |
|    time_elapsed         | 2377        |
|    total_timesteps      | 2883584     |
| train/                  |             |
|    approx_kl            | 0.009889119 |
|    clip_fraction        | 0.0133      |
|    clip_range           | 0.146       |
|    entropy_loss         | -0.0155     |
|    explained_variance   | 0.862       |
|    learning_rate        | 0.000486    |
|    loss                 | 0.00406     |
|    n_updates            | 172         |
|    policy_gradient_loss | -0.00029    |
|    value_loss           | 0.00992     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 36.2       |
|    ep_rew_mean          | 2.26       |
| time/                   |            |
|    fps                  | 1213       |
|    iterations           | 45         |
|    time_elapsed         | 2429       |
|    total_timesteps      | 2949120    |
| train/                  |            |
|    approx_kl            | 0.01026408 |
|    clip_fraction        | 0.0157     |
|    clip_range           | 0.146      |
|    entropy_loss         | -0.0149    |
|    explained_variance   | 0.898      |
|    learning_rate        | 0.000486   |
|    loss                 | 0.00279    |
|    n_updates            | 176        |
|    policy_gradient_loss | 0.000695   |
|    value_loss           | 0.00723    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.6        |
|    ep_rew_mean          | 2.27        |
| time/                   |             |
|    fps                  | 1214        |
|    iterations           | 46          |
|    time_elapsed         | 2481        |
|    total_timesteps      | 3014656     |
| train/                  |             |
|    approx_kl            | 0.011175881 |
|    clip_fraction        | 0.0162      |
|    clip_range           | 0.146       |
|    entropy_loss         | -0.0161     |
|    explained_variance   | 0.874       |
|    learning_rate        | 0.000485    |
|    loss                 | 0.00433     |
|    n_updates            | 180         |
|    policy_gradient_loss | 0.00141     |
|    value_loss           | 0.00971     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 37.5       |
|    ep_rew_mean          | 2.3        |
| time/                   |            |
|    fps                  | 1215       |
